year,lobbyist_name,agency,agency_address
2026,JACOB DEMPSEY,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,ERNEST THOMPSON,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,AMANDA MIILLER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,DAN SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,CHAD MOSTELLER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,TIFFANY STOESER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,KELSEY ROTH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,JOHNSON KATHY,BLACK HILLS STATE UNIVERSITY,"- , SD"
2012,SCHALLENKAMP KAY,BLACK HILLS STATE UNIVERSITY,"- , SD"
2012,CUSTER RODNEY,BLACK HILLS STATE UNIVERSITY,"- , SD"
2015,TOM JACKSON,BLACK HILLS STATE UNIVERSITY,"- , SD"
2015,KATHY JOHNSON,BLACK HILLS STATE UNIVERSITY,"- , SD"
2015,RODNEY CUSTER,BLACK HILLS STATE UNIVERSITY,"- , SD"
2015,PATRICIA SIMPSON,BLACK HILLS STATE UNIVERSITY,"- , SD"
2015,RANDY CULVER,BLACK HILLS STATE UNIVERSITY,"- , SD"
2015,ROB HOUDEK,BLACK HILLS STATE UNIVERSITY,"- , SD"
2016,TOM JACKSON,BLACK HILLS STATE UNIVERSITY,"- , SD"
2016,KATHY JOHNSON,BLACK HILLS STATE UNIVERSITY,"- , SD"
2016,RODNEY CUSTER,BLACK HILLS STATE UNIVERSITY,"- , SD"
2023,JENNIFER STALLEY,BOARD OF ADDICTION AND PREVENTION PROFESSIONALS,
2026,JENNIFER STALLEY,BOARD OF ADDICTION AND PREVENTION PROFESSIONALS,
2026,ADRIAN NESS,BOARD OF BARBER EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,CAROL TELLINGHUISEN,BOARD OF BARBERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,JILL LESSELYOUNG,BOARD OF BARBERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,KATE BOYD,BOARD OF BARBERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,MARCIA WALTER,BOARD OF CHIROPRACTIC EXAMINERS,"600 E CAPITOL AVE PIERRE, SD 57501"
2013,BRITTANY NOVOTNY,BOARD OF DENTISTRY,"- , SD"
2015,BRITTANY NOVOTNY,BOARD OF DENTISTRY,"- , SD"
2015,DR. ROGER WILSON,BOARD OF DENTISTRY,"- , SD"
2016,BRITTANY NOVOTNY,BOARD OF DENTISTRY,"- , SD"
2017,BRITTANY NOVOTNY,BOARD OF DENTISTRY,"- , SD"
2021,BRITTANY NOVOTNY,BOARD OF DENTISTRY,"- , SD"
2014,JOYCE VOS,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2014,MARY GUTH,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2014,DAVE JOHNSON,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2014,JOYCE VOS,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2014,MARY GUTH,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2014,DAVE JOHNSON,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2018,JENNIFER STALLEY,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2019,JENNIFER STALLEY,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2019,LYNELL RICE-BRINKWORTH,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2020,JENNIFER STALLEY,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2020,LYNELL RICE-BRINKWORTH,BOARD OF EXAMINERS OF COUNSELORS,"500 EAST CAPITOL AVENUE , SD 57501"
2025,BROOKE TELLINGHUISEN-GEDDES,BOARD OF FUNERAL DIRECTORS,"600 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,CAROL TELLINGHUISEN,BOARD OF FUNERAL SERVICES,"- , SD"
2013,HOWARD SOGN,BOARD OF FUNERAL SERVICES,"- , SD"
2013,TIM BACHMAN,BOARD OF FUNERAL SERVICES,"- , SD"
2023,RANDY BRENNICK,BOARD OF FUNERAL SERVICES,"- , SD"
2023,CAROL TELLINGHUISEN,BOARD OF FUNERAL SERVICES,"- , SD"
2023,BROOKE GEDDES,BOARD OF FUNERAL SERVICES,"- , SD"
2023,ABBY REHORST,BOARD OF FUNERAL SERVICES,"- , SD"
2025,JAMES JONES,BOARD OF FUNERAL SERVICES,"- , SD"
2013,CAROL TELLINGHUISEN,BOARD OF HEARING AID DISPENSERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,MIKE COLLERAN,BOARD OF HEARING AID DISPENSERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,MIKE BARTLEY,BOARD OF HEARING AID DISPENSERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,BROOKE TELLINGHUISEN GEDDES,BOARD OF HEARING AID DISPENSERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,TODD DECKER,BOARD OF HEARING AID DISPENSERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,LINDSEY JORGENSEN,BOARD OF HEARING AID DISPENSERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,CLINT HINKER,BOARD OF HEARING AID DISPENSERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,JENNIFER STALLEY,BOARD OF MASSAGE THERAPY,"- , SD"
2016,JENNIFER STALLEY,BOARD OF MASSAGE THERAPY,"- , SD"
2016,BRITTANY NOVOTNY,BOARD OF MASSAGE THERAPY,"- , SD"
2018,MITCH RICHTER,BOARD OF MASSAGE THERAPY,"1103 PARK HILL DRIVE RAPID CITY, SD 57701"
2025,KATE BOYD,BOARD OF MASSAGE THERAPY,"- , SD"
2013,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,"MARY CARPENTER, MD",BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,DEB BOWMAN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,MARGARET HANSEN,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,WHITNEY BURROWS,BOARD OF MEDICAL AND OSTEOPATHIC EXAMINERS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
